AC_NO,AC_NAME,PHASE,CAND_SL_NO,CAND_NAME,CAND_SEX,CAND_AGE,CAND_CATEGORY,PARTYABBRE,PARTYNAME,SYMBOL_DES
151,Elamanchili,1,3,YALLAPU BHIMA VENKATESWARA RAO,M,34,GEN,RJD,Rashtriya Janata Dal,Hurricane Lamp
151,Elamanchili,1,4,LALAM BHASKARA RAO,M,53,GEN,TDP,Telugu Desam,Bicycle
151,Elamanchili,1,5,VEGI SOMESWARA RAO,M,59,GEN,BJP,Bharatiya Janata Party,Lotus
151,Elamanchili,1,6,KUNDURU GOVINDHU,M,29,GEN,TPPP,Trilinga Praja Pragati Party,Television
151,Elamanchili,1,7,GONTHINA VENKATA NAGESWARA RAO,M,46,GEN,PRP,Praja Rajyam Party,Railway Engine
151,Elamanchili,1,8,SARISA LEELA PRASANNA KUMARI,F,40,GEN,PPOI,Pyramid Party of India,Ring
151,Elamanchili,1,9,CHANDRA SEKHARARAO RAYAVARAPU,M,36,GEN,IND,Independent,Nagara
152,Payakaraopeta,1,1,GOLLA BABURAO,M,54,SC,INC,Indian National Congress,Hand
152,Payakaraopeta,1,2,CHENGALA VENKATA RAO,M,42,SC,TDP,Telugu Desam,Bicycle
152,Payakaraopeta,1,3,BAVIRISETTI MANIKYALA RAO,M,30,SC,BSP,Bahujan Samaj Party,Elephant
152,Payakaraopeta,1,4,BUSIRAJU DULAM,M,49,SC,BJP,Bharatiya Janata Party,Lotus
152,Payakaraopeta,1,5,GURINDAPALLI DHANARAJU,M,52,SC,PRP,Praja Rajyam Party,Railway Engine
152,Payakaraopeta,1,6,PILLI BALARAMUDU,M,38,SC,LSP,Lok Satta Party,Whistle
152,Payakaraopeta,1,7,VADLAMURI KRISHNA SWAROOP,M,36,SC,DABAP,Dalita Bahujana Party,Ring
152,Payakaraopeta,1,8,PATCHINEELA MARIDIYYA,M,34,SC,IND,Independent,Cup & Saucer
152,Payakaraopeta,1,9,PAKA SATYANARAYANA,M,45,SC,IND,Independent,Hat
152,Payakaraopeta,1,10,SURIBABU JEKKALA,M,33,SC,IND,Independent,Brief Case
153,Narsipatnam,1,1,AYYANNAPATRUDU CHINTAKAYALA,M,51,GEN,TDP,Telugu Desam,Bicycle
153,Narsipatnam,1,2,KARAKA NARASIMHA MURTHY,M,60,GEN,BSP,Bahujan Samaj Party,Elephant
153,Narsipatnam,1,3,BOLEM MUTHYALA PAPA,F,38,GEN,INC,Indian National Congress,Hand
153,Narsipatnam,1,4,MADDU RAMAKRISHNA RAJU,M,41,GEN,BJP,Bharatiya Janata Party,Lotus
153,Narsipatnam,1,5,RUTTALA YERRAPATRUDU,M,54,GEN,PRP,Praja Rajyam Party,Railway Engine
153,Narsipatnam,1,6,SURLA NAGA VENKATA SURYANARAYANA,M,34,GEN,LSP,Lok Satta Party,Whistle
153,Narsipatnam,1,7,GORSA VENKATA SURYA NARAYANA,M,25,GEN,IND,Independent,Gas Cylinder
153,Narsipatnam,1,8,CHIRANJEEVI RAO TAVVA,M,49,GEN,IND,Independent,Gas Stove
172,Rampachodovaram,1,1,KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,M,44,ST,INC,Indian National Congress,Hand
172,Rampachodovaram,1,2,CHINNAM BABU RAMESH,M,41,ST,TDP,Telugu Desam,Bicycle
172,Rampachodovaram,1,3,PARADA MALLESWARARAO,M,45,ST,BSP,Bahujan Samaj Party,Elephant
172,Rampachodovaram,1,4,SOLLA BOJJI REDDY,M,49,ST,BJP,Bharatiya Janata Party,Lotus
172,Rampachodovaram,1,5,KATRU SUDHAKAR BABU,M,40,ST,LSP,Lok Satta Party,Whistle
172,Rampachodovaram,1,6,SEETHAMSETTI VENKATESWARARAO,M,56,ST,PRP,Praja Rajyam Party,Railway Engine
172,Rampachodovaram,1,7,KARAM SAVITHRI,F,50,ST,IND,Independent,Table
172,Rampachodovaram,1,8,KUNJAM V.V.S.N. DORA,M,37,ST,IND,Independent,Scissors
172,Rampachodovaram,1,9,KUNDLA PEDA GANGARAJU,M,60,ST,IND,Independent,Nagara
172,Rampachodovaram,1,10,PANDELA SOMAYYA,M,59,ST,IND,Independent,Cup & Saucer
