ST_CODE,AC_NAME,PHASE,CAND_SL_NO,CAND_NAME,CAND_SEX,CAND_AGE,CAND_CATEGORY,PARTYABBRE,PARTYNAME,SYMBOL_DES
S01,Macherla,2,15,JULAKANTI PEDDA VEERA REDDY,M,37,GEN,IND,Independent,Not Alloted
S01,Macherla,2,16,YECHURI NARAYANA,M,47,GEN,IND,Independent,Not Alloted
S01,Macherla,2,17,BOMIIREDDY RAMA KRISHNA REDDY,M,35,GEN,IND,Independent,Not Alloted
S01,Macherla,2,18,POLA KRISHNA MURTHY,M,45,GEN,IND,Independent,Not Alloted
S01,Macherla,2,19,PIRATLA ANJANEYA SASTRY,M,57,GEN,PP,Praja Party,Not Alloted
S01,Macherla,2,20,RAMISETTY NARENDRA BABU,M,38,GEN,IND,Independent,Not Alloted
S01,Macherla,2,21,CHALLA SATYANARAYANA,M,55,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Macherla,2,22,VATTIKONDA JAYARAMAIAH,M,59,GEN,IND,Independent,Not Alloted
S01,Macherla,2,23,MANUKONDA NARASIMHA SAMBIREDDY,M,49,GEN,IND,Independent,Not Alloted
S01,Macherla,2,24,JULAKANTI BRAHMANANDAREDDY,M,44,GEN,TDP,Telugu Desam,Bicycle
S01,Macherla,2,25,YAGANTI MALLIKHARJUNA RAO,M,47,GEN,IND,Independent,Not Alloted
S01,Macherla,2,26,MANDAVA RANI,F,28,GEN,LSP,Lok Satta Party,Whistle
S01,Macherla,2,27,MANGANTI SUDHAKAR,M,40,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Macherla,2,28,JULAKANTI SOBHA RANI,F,32,GEN,TDP,Telugu Desam,Bicycle
S01,Macherla,2,29,SANIKOMMU PULLA REDDY,M,56,GEN,IND,Independent,Not Alloted
S01,Macherla,2,30,BRUNGA RAMAN RAO,M,43,GEN,IND,Independent,Not Alloted
S01,Macherla,2,31,PANGALURI ANJAIAH,M,31,GEN,IND,Independent,Not Alloted
S01,Macherla,2,32,RAJABOYINA MADHUSUDANA RAO,M,33,GEN,IND,Independent,Not Alloted
S01,Macherla,2,33,VATTEM NARASIMHA RAO,M,31,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Yerragondapalem,2,1,YENIBERA RAMESH,M,32,SC,BSP,Bahujan Samaj Party,Elephant
S01,Yerragondapalem,2,2,MANJULA CHINIGE,F,52,SC,BJP,Bharatiya Janata Party,Lotus
S01,Yerragondapalem,2,3,DAVID RAJU PALAPARTHI,M,52,SC,TDP,Telugu Desam,Bicycle
S01,Yerragondapalem,2,4,SURESH AUDIMULAPU,M,38,SC,INC,Indian National Congress,Hand
S01,Yerragondapalem,2,5,JAYA PRAKASH THAMMEDPALLI,M,52,SC,LSP,Lok Satta Party,Whistle
S01,Yerragondapalem,2,6,NANDIGAM JESI BABU,M,52,SC,PRP,Praja Rajyam Party,Railway Engine
S01,Yerragondapalem,2,7,ADIPI CHINNA GALAIAH,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,8,ARE RAMANAIAH,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,9,ISRAEL CHILAKA,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,10,CHINNA KOTAIAH CHILAKA,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,11,CHILAKA YELAMANDA,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,12,JALLI CHAKRAVARTHY,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,13,DEVARAKONDA MADHU,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,14,DEVARAKONDA VARA PRASADA RAO,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,15,NAGAIAH UPPALAPATI,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,16,PARISAPOGU ISSAIAH,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,17,PILLI CHENNA KESAVULU,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,18,YADDANAPUDI PEDDA GURAVAIAH,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,19,RAJKUMAR DARIVEMULA,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,20,RAJU BANKA,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,21,CH. CHAKRAVARTHI,M,52,SC,IND,Independent,Not Alloted
S01,Yerragondapalem,2,22,SILAS DARIVEMULA,M,52,SC,IND,Independent,Not Alloted
S01,Darsi,2,1,DARNASI PEDDAIAH,M,41,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Darsi,2,2,BUCHEPALLI SIVA PRASADA REDDY,M,29,GEN,INC,Indian National Congress,Hand
S01,Darsi,2,3,BODDU KOTI REDDY,M,70,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Darsi,2,4,MANNAM VENKATA RAMANA RAO,M,38,GEN,TDP,Telugu Desam,Bicycle
S01,Darsi,2,5,POTTURI SUBRAMANYAM,M,38,GEN,PPOI,Pyramid Party of India,Television
S01,Darsi,2,6,MANCHINENI SRINIVASA RAO,M,41,GEN,LSP,Lok Satta Party,Whistle
S01,Darsi,2,7,MADDISETTY VENUGOPALA RAO,M,43,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Darsi,2,8,ANDAM CHINNA SATYANARAYANA,M,28,GEN,IND,Independent,Hat
S01,Darsi,2,9,ADDANKI RADHAKRISHNA MURTHY,M,48,GEN,IND,Independent,Almirah
S01,Darsi,2,10,ANNAPUREDDY SRINIVASA REDDY,M,42,GEN,IND,Independent,Road Roller
S01,Darsi,2,11,EDURU NARASIMHA REDDY,M,34,GEN,IND,Independent,Gas Stove
S01,Darsi,2,12,KANTA ANJANEYULU,M,59,GEN,IND,Independent,Black Board
S01,Darsi,2,13,TENALI RAVI BABU,M,45,GEN,IND,Independent,Aeroplane
S01,Darsi,2,14,NARAPUSETTY HANUMANTHA RAO,M,48,GEN,IND,Independent,Umbrella
S01,Darsi,2,15,PILLI CHINA KOTESWARA RAO,M,46,GEN,IND,Independent,Not Alloted
S01,Darsi,2,16,BUCHEPALLI SUBBA REDDY,M,59,GEN,IND,Independent,Batsman
S01,Darsi,2,17,MANNAM GEETHA,F,36,GEN,IND,Independent,Cup & Saucer
S01,Darsi,2,18,VELISETTY VENKATESWARLU,M,43,GEN,IND,Independent,Not Alloted
S01,Darsi,2,19,SIDDABATHINI PRABHUDAS,M,50,GEN,IND,Independent,Not Alloted
S01,Darsi,2,20,K.B. SESHU,M,43,GEN,IND,Independent,Ceiling Fan
S01,Darsi,2,21,SYED MAHABOOB SAHEB,M,38,GEN,IND,Independent,Bat
S01,Parchur,2,1,KOPPOLU RATNA KUMAR,M,31,SC,BSP,Bahujan Samaj Party,Elephant
S01,Parchur,2,2,GOTTIPATI NARASIMHA RAO,M,45,GEN,TDP,Telugu Desam,Bicycle
S01,Parchur,2,3,DAGGUBATI VENKATESWARA RAO,M,55,GEN,INC,Indian National Congress,Hand
S01,Parchur,2,4,MADDALA SUBBI SETTY,M,62,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Parchur,2,5,P. PEDDANNA,M,53,GEN,LSP,Lok Satta Party,Whistle
S01,Parchur,2,6,MADDINENI ADINARAYANA,M,66,GEN,PPOI,Pyramid Party of India,Television
S01,Parchur,2,7,RAMESH BABU ALOKAM,M,40,GEN,BHSASP,Bharatheeya Sadharma Samsthapana Party,Slate
S01,Parchur,2,8,SANDU PURNA CHANDRA RAO,M,35,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Parchur,2,9,JANDRAJUPALLI SUBBA RAO,M,30,SC,IND,Independent,Hat
S01,Parchur,2,10,VISWESWARARAO GOLLAPUDI,M,25,GEN,IND,Independent,Camera
S01,Addanki,2,1,KARANAM BALA RAMA KRISHNA MURTHY,M,65,GEN,TDP,Telugu Desam,Bicycle
S01,Addanki,2,2,GOTTIPATI RAVI KUMAR,M,36,GEN,INC,Indian National Congress,Hand
S01,Addanki,2,3,CHIRUMAMILLA VEERANJANEYULU,M,45,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Addanki,2,4,BURAGA RAMAIAH,M,45,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Addanki,2,5,KOTAPOTHULA JWALA RAO,M,45,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Addanki,2,6,SRIRAMA LINGESWARA RAO BETAMSETTY,M,45,GEN,PPOI,Pyramid Party of India,Television
S01,Addanki,2,7,SAMBASIVARAO YARRA,M,45,GEN,LSP,Lok Satta Party,Whistle
S01,Addanki,2,8,GADIPUDI SRINIVASA BABU,M,45,GEN,IND,Independent,Almirah
S01,Addanki,2,9,GADDAM VENKATA REDDY,M,45,GEN,IND,Independent,Balloon
S01,Addanki,2,10,TANGIRALA RAJA RAO,M,45,GEN,IND,Independent,Not Alloted
S01,Addanki,2,11,NARASIMHA RAO KOTAPOTHULA,M,45,GEN,IND,Independent,Not Alloted
S01,Addanki,2,12,BRAHMAIAH GARIMIDI,M,45,GEN,IND,Independent,Not Alloted
S01,Addanki,2,13,MARUTHI BABU GOTTIPATI,M,45,GEN,IND,Independent,Not Alloted
S01,Chirala,2,1,AMANCHI KRISHNA MOHAN,M,42,GEN,INC,Indian National Congress,Hand
S01,Chirala,2,2,JANJANAM SRINIVASA RAO,M,42,GEN,TDP,Telugu Desam,Bicycle
S01,Chirala,2,3,RAMABRAHMAM PALLAPOLU,M,42,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Chirala,2,4,SALAGALA DEVADANAM,M,42,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Chirala,2,5,KRUPAVARDHAN RAO KATTA,M,42,GEN,LSP,Lok Satta Party,Whistle
S01,Chirala,2,6,PALETI RAMA RAO,M,42,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Chirala,2,7,VEMA AUDISESHU,M,42,GEN,PPOI,Pyramid Party of India,Not Alloted
S01,Chirala,2,8,ACHUKOLU VENKAYAMMA,F,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,9,VUTUKURI RATHAIAH,M,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,10,KOTA VENKATESWARA RAO YAKKALA,M,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,11,GAVINI SRINIVAS YADAV,M,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,12,GUNUKULA RAMAMURTHY,M,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,13,DAKKUMALLA SURESH BABU,M,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,14,TELAGATHOTI SYMON PETER,M,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,15,DEVAMANI YEPURI,M,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,16,DEVARAPALLI RANGA RAO,M,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,17,P.V. NARASIMHA RAO,M,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,18,PALLAPOLU NAGA MANOHARA LOHIA,M,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,19,BADARI NARAYANA VUTUKURI,M,42,GEN,IND,Independent,Not Alloted
S01,Chirala,2,20,VETAPALEM GAJENDRA RAO,M,42,GEN,IND,Independent,Not Alloted
S01,Santhanuthalapadu,2,1,ANJAIAH JALA,M,55,SC,CPM,Communist Party of India (Marxist),"Hammer, Sickle and Star"
S01,Santhanuthalapadu,2,4,JAGANNADHAM SANGEETHARAO,M,76,SC,BSP,Bahujan Samaj Party,Elephant
S01,Santhanuthalapadu,2,5,B.N. VIJAY KUMAR,M,76,SC,INC,Indian National Congress,Hand
S01,Santhanuthalapadu,2,6,SUBBA RAO NANNEPOGU,M,48,SC,BJP,Bharatiya Janata Party,Lotus
S01,Santhanuthalapadu,2,7,KASUKURTHI POLAIAH,M,37,SC,PPOI,Pyramid Party of India,Television
S01,Santhanuthalapadu,2,8,KOMMURI KANAKARAO,M,36,SC,PRP,Praja Rajyam Party,Railway Engine
S01,Santhanuthalapadu,2,10,VARIKUTI RAMU,M,32,SC,LSP,Lok Satta Party,Whistle
S01,Santhanuthalapadu,2,11,UBBA VENKATESWARLU,M,39,SC,IND,Independent,Bat
S01,Santhanuthalapadu,2,12,KATARI PADMASRI SWRAJYA RATNA RAJU,M,46,SC,IND,Independent,Nagara
S01,Santhanuthalapadu,2,14,KUCHIPUDI SURESH,M,25,SC,IND,Independent,Banana
S01,Santhanuthalapadu,2,15,KORSAPATI SANTHAIAH,M,50,SC,IND,Independent,Basket
S01,Santhanuthalapadu,2,16,GUMMADI RAJU,M,58,SC,IND,Independent,Comb
S01,Santhanuthalapadu,2,17,JAGANNADHAM KOTILINGAM,M,42,SC,IND,Independent,Black Board
S01,Santhanuthalapadu,2,20,SUBBA RAO GOLLA,M,48,SC,IND,Independent,Ring
S01,Ongole,2,1,EDARA HARIBABU,M,42,GEN,TDP,Telugu Desam,Bicycle
S01,Ongole,2,2,CHINA YOGAIAH YANAM,M,42,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Ongole,2,3,DARA SAMBAIAH,M,42,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Ongole,2,4,BALINENI SRINIVASA REDDY (VASU),M,42,GEN,INC,Indian National Congress,Hand
S01,Ongole,2,5,ALLU SIVA RAMESH REDDY,M,42,GEN,LSP,Lok Satta Party,Whistle
S01,Ongole,2,6,ANAND PARAVATHAREDDY,M,42,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Ongole,2,7,ERANKI JAYARAM,M,42,GEN,PPOI,Pyramid Party of India,Not Alloted
S01,Ongole,2,8,MEDIKONDA MOHANA RAO,M,42,GEN,RKSP,Rashtriya Krantikari Samajwadi Party,Not Alloted
S01,Ongole,2,9,ASODI BRAHMA REDDY,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,10,EDARA CHANDRA MOULI,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,11,OBULA REDDY SUNKARA,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,12,KATRAGADDA RAGHUPATHI RAO,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,13,KOTESWARA RAO SUDANAGUNTA,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,14,GORANTLA SRINIVASA RAO,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,15,CHUNDURI RAVI BABU,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,16,JAJJERA KOTAIAH,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,17,THUMMALAPENTA RAMA RAO,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,18,TELAGALAPUDI ASEERVADAM,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,19,DASARI SUNDARAM,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,20,DEVARAPALLI ANJANEYA VARA PRASADA REDDY,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,21,NAGABOINA CHALAPATHI RAO,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,22,PATURI PURNA CHANDRA RAO,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,23,PIDAPARTHY MADHUSUDHANA REDDY,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,24,POGADTHA CHINA CHENCHAIAH,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,25,MATURI RAMA CHANDRA REDDY,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,26,MAREDDY VEERA REDDY,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,27,MUPPAVARAPU VEERAIAH CHOWDARY,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,28,RAMA RAO MANTRAPRAGADA,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,29,K. SRIHARSHA,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,30,SHAIK SALAM,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,31,K.V.V SATYANARAYANA,M,42,GEN,IND,Independent,Not Alloted
S01,Ongole,2,32,SARASWATHIBHOTLA VENKATA RAMANAIAH,M,42,GEN,IND,Independent,Not Alloted
S01,Kandukur,2,1,ATCHUTA MALAKONDAIAH,M,53,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Kandukur,2,2,KANNEDARI NAGABHUSHANAM,M,53,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Kandukur,2,3,DIVI SIVA RAM,M,53,GEN,TDP,Telugu Desam,Bicycle
S01,Kandukur,2,4,MAHEEDHAR REDDY MANUGUNTA,M,53,GEN,INC,Indian National Congress,Hand
S01,Kandukur,2,5,UPPUTURI VENKAIAH,M,53,GEN,PPOI,Pyramid Party of India,Not Alloted
S01,Kandukur,2,6,CHIMMIRI KOTESWARA RAO,M,53,GEN,LSP,Lok Satta Party,Whistle
S01,Kandukur,2,7,VALLEPU RAGHAVULU,M,53,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Kandukur,2,8,SRINIVASULU DARA,M,53,GEN,BHSASP,Bharatheeya Sadharma Samsthapana Party,Not Alloted
S01,Kandukur,2,9,KONDAPNAIDU UPPUTURI,M,53,GEN,IND,Independent,Not Alloted
S01,Kandukur,2,10,KOTESWARA RAO DAGGUMATI,M,53,GEN,IND,Independent,Not Alloted
S01,Kandukur,2,11,NAVULURI SRINU,M,53,GEN,IND,Independent,Not Alloted
S01,Kandukur,2,12,VALLEPU ANKAIAH,M,53,GEN,IND,Independent,Not Alloted
S01,Kondapi,2,1,KARATAPU RAJU,M,42,SC,BJP,Bharatiya Janata Party,Lotus
S01,Kondapi,2,2,GURRALA VENKATA SESHU,M,42,SC,INC,Indian National Congress,Hand
S01,Kondapi,2,3,BADUGU INDIRA,F,42,SC,BSP,Bahujan Samaj Party,Elephant
S01,Kondapi,2,4,MATTIGUNTA KALYANI,F,42,SC,TDP,Telugu Desam,Bicycle
S01,Kondapi,2,5,SRI BALA VEERANJANEYASWAMI DOLA,M,42,SC,TDP,Telugu Desam,Bicycle
S01,Kondapi,2,6,KESAVA RAO PARRE,M,42,SC,TDP,Telugu Desam,Bicycle
S01,Kondapi,2,7,ANGALAKURTHY PRASAD,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,8,ADDANKI HARI PRASADA RAO,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,9,VUSURUPATI BRAHMAIAH,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,10,KATTA BABU RAO,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,11,KASUKURTHY SRINU,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,12,GUNDABATTINA MADHAVA RAO,M,42,SC,LSP,Lok Satta Party,Whistle
S01,Kondapi,2,13,JANNEPOGU SINGAIAH,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,14,THIRUPATHI NIRMALA,F,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,15,DASARI SIVAJI,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,16,DUGGIRALA PERA RAJU,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,17,DEVARAPALLI VENKATA SESHAGIRI RAO,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,18,DR. DHANYASI MALAKONDAIAH,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,19,NARAYANA CHEEDARLA,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,20,PARRE LAKSHMI NARAYANA,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,21,MENDA KOTESWARA RAO,M,42,SC,PPOI,Pyramid Party of India,Not Alloted
S01,Kondapi,2,22,MEDIDA BALAKOTAIAH,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,23,YARAMALA NIRANJAN,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,24,YANAMADINI VENKATESWARLU,M,42,SC,IND,Independent,Not Alloted
S01,Kondapi,2,25,SUJATHA GANGADA,F,42,SC,IND,Independent,Not Alloted
S01,Markapur,2,1,KANDULA NARAYANA REDDY,M,42,GEN,TDP,Telugu Desam,Bicycle
S01,Markapur,2,2,KUNDURU PEDDA KONDA REDDY,M,42,GEN,INC,Indian National Congress,Hand
S01,Markapur,2,3,TADI DHANALAKSHMI,M,42,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Markapur,2,4,SANDRAPATI PRASAD,M,42,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Markapur,2,5,CHITTEM VENKATA REDDY,M,42,GEN,LSP,Lok Satta Party,Whistle
S01,Markapur,2,6,JAVED HUSSAIN BAIG MIRJA,M,42,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Markapur,2,7,PABBISHETTY RAMA RAO,M,42,GEN,PPOI,Pyramid Party of India,Not Alloted
S01,Markapur,2,8,NAGISETTY VENKATESWARLU,M,42,GEN,GRIP,Great India Party,Not Alloted
S01,Markapur,2,9,AKULA CHENNAIAH,M,42,GEN,IND,Independent,Not Alloted
S01,Markapur,2,10,KANDULA VENUGOPALA REDDY,M,42,GEN,IND,Independent,Not Alloted
S01,Markapur,2,11,KATURI SREENIVASA RAO,M,42,GEN,IND,Independent,Not Alloted
S01,Markapur,2,12,KUNDURU SUBBAMMA,M,42,GEN,IND,Independent,Not Alloted
S01,Markapur,2,13,THATIREDDY SRINIVASA REDDY,M,42,GEN,IND,Independent,Not Alloted
S01,Markapur,2,14,THOUFIC ALI SHAIK,M,42,GEN,IND,Independent,Not Alloted
S01,Markapur,2,15,PIKKILI RAMANJANEYULU,M,42,GEN,IND,Independent,Not Alloted
S01,Markapur,2,16,PILLI ANJAIAH,M,42,GEN,IND,Independent,Not Alloted
S01,Markapur,2,17,YERUVA NAGARJUNA REDDY,M,42,GEN,IND,Independent,Not Alloted
S01,Markapur,2,18,SRINIVASULU PADI,M,42,GEN,IND,Independent,Not Alloted
S01,Markapur,2,19,SATHARAJUPALLI CHANDRA SEKHAR,M,42,GEN,IND,Independent,Not Alloted
S01,Markapur,2,20,SYED ABDUL RAWOOF,M,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,1,KONDAIAH SUDDULA (ADDALA),M,42,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Giddalur,2,2,CHANDRASEKHAR BHIRABOINA,M,42,GEN,INC,Indian National Congress,Hand
S01,Giddalur,2,3,DIVAKAR THOTAKURI,M,42,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Giddalur,2,4,RAJESWARA RAO GANGISETTY,M,42,GEN,RJD,Rashtriya Janata Dal,Hurricane Lamp
S01,Giddalur,2,5,LINGAREDDY CHEGIREDDY,M,42,GEN,TDP,Telugu Desam,Bicycle
S01,Giddalur,2,6,ANNA RAMBABU,M,42,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Giddalur,2,7,BALARANGA REDDY MUTHUMULA,M,42,GEN,LSP,Lok Satta Party,Whistle
S01,Giddalur,2,8,ANKALA VENKATA SIVA PRASADU DINATAKURTHY,M,42,GEN,BSSP,Bharatiya Sadbhawna Samaj Party,Not Alloted
S01,Giddalur,2,9,RAJASEKHAR RAJU MADAMPURI,M,42,GEN,PPOI,Pyramid Party of India,Not Alloted
S01,Giddalur,2,10,VENKATESWARLU NAGI,M,42,GEN,RKSP,Rashtriya Krantikari Samajwadi Party,Not Alloted
S01,Giddalur,2,11,IBRAHIM SHAIK,M,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,12,IZAIAH ITTA,M,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,13,DAKALA PULLAIAH,M,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,14,MUTHUMULA ARUNA REDDY,F,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,15,MYNUDDIN S.A.K,M,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,16,YERUVA SIVA NARAYANA REDDY,M,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,17,RAMA BHUPAL REDDY PIDATHALA,M,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,18,VENKATA REDDY YALLURI,M,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,19,VENKATA SUBBAREDDY BATTULA,M,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,20,VENKATESWARLU DASARI,M,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,21,SIVAPURAM SURENDRA KUMAR,M,42,GEN,IND,Independent,Not Alloted
S01,Giddalur,2,22,SATYANARAYANA THUMMALAPALLI,M,42,GEN,IND,Independent,Not Alloted
S01,Kanigiri,2,1,UGRA NARASIMHAREDDY MUKKU,M,54,GEN,INC,Indian National Congress,Hand
S01,Kanigiri,2,2,ONGOLE CHITTI BABU,M,53,GEN,BSP,Bahujan Samaj Party,Elephant
S01,Kanigiri,2,3,MUKKU VANKATA REDDY,M,53,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Kanigiri,2,4,UMA MAHESWARI MADDIBOINA,F,53,GEN,PRP,Praja Rajyam Party,Railway Engine
S01,Kanigiri,2,5,CHEDELLA VENU GOPAL,M,53,GEN,PPOI,Pyramid Party of India,Television
S01,Kanigiri,2,6,PALURI VENKATA RAMANA REDDY,M,53,GEN,LSP,Lok Satta Party,Whistle
S01,Kanigiri,2,7,JONNALAGADDA SRIRAMULU,M,53,GEN,IND,Independent,Basket
S01,Kanigiri,2,8,NALLAMALAPU PEDA RAGHAVA REDDY,M,53,GEN,IND,Independent,Not Alloted
S01,Kanigiri,2,9,PALAKOLLU VENKATESWARA REDDY,M,53,GEN,IND,Independent,Road Roller
S01,Kanigiri,2,10,POTALA RAMESH,M,53,GEN,IND,Independent,Cup & Saucer
S01,Kanigiri,2,11,POTU BABUL REDDY,M,53,GEN,IND,Independent,Battery Torch
S01,Kanigiri,2,12,BEERAM BALA SUBBA REDDY,M,53,GEN,IND,Independent,Not Alloted
S01,Kanigiri,2,13,MALINENI NARASAIAH,M,53,GEN,IND,Independent,Ceiling Fan
S01,Kanigiri,2,14,MULE BALI REDDY,M,53,GEN,IND,Independent,Camera
S01,Kanigiri,2,15,RACHAMALLA SRINIVASA REDDY,M,53,GEN,IND,Independent,Banana
S01,Kanigiri,2,16,VANGEPURM JEEVARATNAM,M,53,GEN,IND,Independent,Not Alloted
S01,Kanigiri,2,17,SRINIVASAREDDY MADATHALA,M,53,GEN,IND,Independent,Not Alloted
S01,Kanigiri,2,18,SHAIK JEMSHEER AHAMAD,M,53,GEN,IND,Independent,Ice Cream
S01,Kanigiri,2,19,SYED KHAJA,M,53,GEN,IND,Independent,Not Alloted
S01,Kanigiri,2,20,SANIKOMMU RAMA RAGHAVA REDDY,M,53,GEN,IND,Independent,Electric Pole
S01,Kanigiri,2,21,SUNKARA MADHUSUDHANA RAO,M,53,GEN,IND,Independent,Ring
S01,Allagadda,2,1,INJETI KRISHNA REDDY,M,44,GEN,RJD,Rashtriya Janata Dal,Hurricane Lamp
S01,Allagadda,2,2,ERIGELA RAMPULLAREDDY,M,46,GEN,TDP,Telugu Desam,Bicycle
S01,Allagadda,2,3,T.OBULESU,M,33,SC,BSP,Bahujan Samaj Party,Elephant
S01,Allagadda,2,4,GANGULA PRATHAP REDDY,M,58,GEN,INC,Indian National Congress,Hand
S01,Allagadda,2,5,BOREDDY LAKSHMI REDDY,M,42,GEN,BJP,Bharatiya Janata Party,Lotus
S01,Allagadda,2,6,M.KRISHNA REDDY,M,46,GEN,RKSP,Rashtriya Krantikari Samajwadi Party,Gas Cylinder
